Giá,Diện tích,Mã tin,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất Copy
1.1,50.0,241096,5,30,20,2,2,không
1.1,50.0,241088,5,30,20,2,2,không
4.35,80.0,241077,1,1,1,1,1,không
2.0,60.0,241072,6,1,18,3,2,không
35.5,98.0,241067,4,10,5,6,7,không
11.9,72.0,241062,4,6,5,5,6,không
4.2,72.0,241052,5,5,3,4,1,không
3.5,50.0,241037,1,1,1,1,1,không
8.4,60.0,241029,5,6,3,3,3,không
1.65,30.0,233074,3,5,1,2,2,không
800.0,60.0,241025,6,6,2,2,2,cơ bản
900.0,50.0,235511,5,5,2,2,2,cơ bản
850.0,40.0,232279,5,5,2,2,1,cơ bản
900.0,56.0,233834,5,5,2,2,2,cơ bản
720.0,18.0,241022,4,3,2,1,1,không
870.0,24.0,241014,4,3,2,2,2,không
4.3,114.0,241009,6,4,2,3,2,không
6.3,64.0,241006,1,1,2,3,3,không
1.35,20.0,240993,4,3,2,2,2,không
2.1,30.0,240991,3,6,2,4,3,không
5.2,70.0,240978,6,4,2,3,2,không
5.2,70.0,240977,6,4,2,3,2,không
4.8,66.0,240964,5,5,2,3,1,không
6.1,40.0,240944,4,5,3,4,5,không
0.0,100.0,240941,1,1,1,1,1,không
1.7,80.0,240940,1,12,1,1,1,không
2.5,85.0,240935,1,12,1,1,1,không
2.0,72.0,240932,1,6,1,1,1,không
3.98,84.0,232654,4,6,3,4,5,không
6.1,40.0,240922,4,5,3,4,5,không
0.0,0.0,240899,1,1,1,1,1,không
3.98,50.0,232648,4,6,2,4,3,không
9.9,143.0,240892,5,15,1,4,4,không
0.0,0.0,240891,1,1,1,1,1,không
0.0,0.0,240867,1,1,1,1,1,không
5.5,45.0,240858,5,5,4,6,5,không
25.0,102.0,240857,4,15,5,4,6,không
12.0,52.0,240856,4,6,6,3,4,không
25.0,871.0,240847,16,15,1,2,2,không
43.26,493.0,240846,18,8,4,12,10,không
100.0,267.0,240844,10,10,1,1,1,không
5.2,76.0,240823,6,3,2,3,3,không
5.2,76.0,240822,6,3,2,3,3,không
4.0,78.0,240809,1,3,1,3,1,không
2.29,34.0,232361,3,5,2,4,3,không
1.1,25.0,232359,3,3,1,2,2,không
6.5,43.0,240757,5,4,3,4,5,không
5.9,76.0,240747,4,5,2,5,3,không
34.0,160.0,240742,5,35,9,9,9,không
5.1,60.0,239760,4,4,1,4,4,không
4.3,33.0,240738,5,3,3,3,4,không
34.0,160.0,240723,5,35,9,9,9,không
5.65,25.0,240722,3,3,4,3,4,không
4.3,75.0,240704,5,1,3,3,1,không
8.8,42.0,240694,5,5,5,4,3,không
4.8,65.0,240691,5,5,3,3,1,không
8.0,40.0,240690,4,5,5,4,5,không
42.0,40.0,240687,4,3,3,3,3,không
10.2,51.0,240680,4,5,4,4,5,không
10.2,51.0,240679,4,5,4,4,5,không
0.0,0.0,240677,1,1,1,1,1,không
8.2,42.0,240674,4,4,4,4,6,không
4.5,47.0,240672,4,3,2,2,2,không
4.5,47.0,240669,4,3,2,2,2,không
0.0,70.0,240668,6,3,2,3,2,không
360.0,284.0,240666,1,1,1,1,1,không
360.0,284.0,240667,1,1,1,1,1,không
105.0,1200.0,240652,12,25,2,4,5,không
11.5,74.0,240648,4,5,5,4,4,không
8.7,67.0,240646,5,4,3,3,4,không
18.0,70.0,240645,4,15,3,4,4,không
8.7,65.0,240642,5,3,1,2,2,không
3.25,37.0,240622,3,3,2,2,1,không
14.0,183.0,240621,5,5,4,16,16,không
5.2,76.0,240618,6,3,2,3,2,không
5.2,76.0,240617,6,3,2,3,2,không
7.35,46.0,240609,3,6,3,2,2,không
4.3,72.0,240599,6,5,1,2,2,không
7.9,80.0,240596,1,8,3,4,5,không
4.1,103.0,240595,6,2,2,4,2,không
1.75,30.0,240592,3,5,2,2,1,không
39.0,225.0,240539,9,15,3,6,6,không
3.35,42.0,240536,7,2,2,3,2,không
8.6,60.0,240534,4,4,4,4,4,không
39.0,225.0,240527,9,15,3,6,6,không
22.0,95.0,240526,9,8,4,8,6,không
6.5,80.0,240524,5,8,3,4,5,không
2.3,36.0,240523,4,5,2,3,2,không
6.5,82.0,240514,6,8,3,4,5,không
2.38,36.0,240510,3,6,3,4,3,không
3.3,42.0,240505,4,6,2,2,2,không
2.25,72.0,240503,3,4,3,4,3,không
5.98,48.0,240497,4,6,4,4,5,không
5.5,72.0,240496,4,6,3,4,3,không
7.5,86.0,240486,4,5,2,5,4,không
6.7,57.0,240424,4,10,4,5,4,không
5.2,84.0,240401,8,1,2,3,2,không
1.79,18.0,240396,4,2,2,2,1,không
7.4,32.0,240387,3,4,4,5,6,không
8.5,117.0,227359,1,1,1,1,1,không
5.6,43.0,240377,4,3,2,2,2,không
4.11,68.0,240367,6,1,1,1,1,không
7.4,32.0,240356,4,5,4,2,3,không
3.9,40.0,240332,4,4,2,2,2,không
3.6,60.0,240252,5,4,2,3,1,không
4.8,70.0,240245,1,4,1,1,1,không
15.3,94.0,240236,11,4,1,2,2,không
4.6,58.0,240234,1,4,2,1,1,không
9.5,56.0,240232,4,5,5,4,4,không
9.5,56.0,240231,4,5,5,4,4,không
4.6,36.0,240228,4,4,4,3,4,không
7.8,49.0,240225,4,4,4,7,8,không
145.0,159.0,240224,9,15,10,10,9,không
7.8,55.0,240217,4,4,4,4,5,không
5.2,27.0,240216,3,6,3,2,3,không
0.0,1.0,240211,1,1,1,1,1,không
4.7,62.0,240206,5,5,3,3,1,không
2.8,100.0,240175,5,15,3,3,3,không
12.8,45.0,240161,4,15,4,5,4,không
2.6,56.0,214102,1,1,1,2,2,không
11.5,46.0,240123,6,5,4,5,6,không
3.85,40.0,240112,4,4,2,2,2,không
15.5,84.0,213335,1,1,2,4,5,không
3.96,51.0,213332,1,1,2,4,5,không
4.85,52.0,213096,1,1,2,4,5,không
23.8,210.0,240093,8,8,4,5,5,không
4.65,60.0,212849,1,1,3,4,5,không
2.28,1.0,240084,4,3,2,2,1,không
5.65,55.0,240078,4,5,3,4,3,không
4.25,50.0,240073,5,6,3,4,3,không
3.9,41.0,240065,3,4,3,4,3,không
24.0,210.0,240062,8,8,4,5,5,không
1.0,56.0,240061,4,5,3,5,5,không
8.8,73.0,240056,4,5,2,3,3,không
1.65,35.0,240055,3,3,1,2,1,không
5.0,40.0,230005,4,8,3,1,1,không
8.5,78.0,229960,1,1,1,1,1,không
7.9,68.0,230729,1,1,1,1,1,không
0.0,0.0,230612,1,1,1,1,1,không
4.8,72.0,231041,1,1,1,1,1,không
3.7,38.0,233211,1,1,1,1,1,không
3.7,38.0,233186,1,1,1,1,1,không
4.65,69.0,229696,1,1,1,1,1,không
8.3,80.0,221663,1,1,1,1,1,không
9.6,135.0,232771,1,1,1,1,1,không
3.9,33.0,231082,1,1,1,1,1,không
3.55,40.0,232752,1,1,1,1,1,không
6.15,47.0,236360,1,1,1,1,1,không
6.6,60.0,235915,1,1,1,1,1,không
3.6,42.0,236616,1,1,1,1,1,không
4.7,63.0,237236,1,1,1,1,1,không
3.7,40.0,237721,1,1,1,1,1,không
7.5,80.0,238167,1,1,1,1,1,không
3.999,35.0,238474,1,1,1,1,1,không
11.0,57.0,240046,4,8,4,4,4,không
1.28,25.0,240044,3,4,2,2,2,không
4.29,55.0,240038,4,6,2,3,3,không
5.6,86.0,240020,4,3,1,1,1,không
7.6,64.0,240017,4,10,2,4,3,không
6.8,64.0,240016,4,3,3,4,4,không
5.8,57.0,239995,1,1,3,3,3,không
2.35,33.0,239988,5,1,2,3,1,không
10.0,100.0,239975,5,10,4,2,4,không
10.3,72.0,239974,4,15,1,3,3,không
10.3,72.0,239968,4,15,1,3,3,không
5.9,68.0,239967,3,4,3,3,3,không
6.5,123.0,239958,9,6,1,2,2,không
6.4,71.0,239951,4,10,4,5,4,không
4.05,52.0,239941,6,4,2,2,2,không
4.9,59.0,239937,5,5,2,3,2,không
1.79,18.0,239933,4,2,2,2,1,không
4.05,18.0,239930,3,5,3,3,3,không
14.0,183.0,239922,5,5,4,16,16,không
3.25,37.0,239920,3,3,2,2,1,không
10.0,100.0,239902,5,10,4,2,4,không
4.05,52.0,239889,6,4,2,2,2,không
5.3,55.0,239872,4,8,4,4,3,không
330.0,21.0,239866,4,6,3,2,3,không
4.8,26.0,239862,4,5,5,4,5,không
4.05,29.0,239860,4,2,4,3,3,không
17.9,66.0,239858,7,8,4,8,9,không
1.75,20.0,239851,4,3,2,2,1,không
8.4,80.0,239845,4,5,4,5,4,không
24.8,59.0,239834,4,10,4,6,7,không
330.0,21.0,239831,4,6,3,2,3,không
330.0,21.0,239820,4,6,3,2,3,không
4.05,29.0,239818,4,2,4,3,3,không
4.5,60.0,239801,5,5,2,3,1,không
6.5,45.0,239798,5,4,3,4,3,không
19.0,84.0,239795,5,8,4,4,5,không
32.0,160.0,239793,4,20,5,4,6,không
4.8,60.0,239789,6,5,3,3,1,không
21.5,72.0,239780,6,30,5,4,4,không
9.4,49.0,239779,4,5,5,4,4,không
9.5,49.0,239778,4,5,5,4,4,không
4.5,25.0,239765,4,4,2,2,2,không
2.55,158.0,239762,5,6,1,2,1,không
6.3,40.0,239757,4,4,4,4,3,không
6.3,40.0,239756,4,4,4,4,3,không
17.0,82.0,239755,1,20,4,4,4,không
17.0,82.0,239754,1,20,4,4,4,không
7.8,60.0,239745,4,8,4,4,5,không
2.25,20.0,239743,3,2,2,2,1,không
9.3,80.0,237460,4,5,4,5,4,không
6.6,42.0,237402,7,5,3,4,4,không
6.5,88.0,234989,4,3,2,7,5,không
6.8,57.0,235377,4,10,2,3,3,không
6.6,65.0,238060,4,3,5,5,7,không
8.9,100.0,238023,5,5,2,3,3,không
6.7,41.0,231846,5,5,5,7,3,cơ bản
15.1,101.0,231933,3,9,5,4,5,không
8.8,42.0,234871,4,5,3,3,3,không
2.8,100.0,239722,5,15,3,3,3,không
6.3,40.0,239719,4,4,4,4,4,không
6.3,40.0,239720,4,4,4,4,4,không
11.5,42.0,239654,4,12,4,2,3,không
11.5,42.0,239653,4,12,4,2,3,không
3.85,40.0,239624,4,4,2,2,2,không
3.85,40.0,239623,4,4,2,2,2,không
9.9,101.0,230878,4,4,3,5,4,không
4.38,30.0,232935,4,10,4,4,4,không
4.3,55.0,224028,5,6,2,3,2,không
4.3,56.0,224214,4,6,2,3,1,không
3.55,30.0,233052,6,4,3,3,3,không
4.38,30.0,235242,4,10,3,3,1,không
4.3,49.0,227933,4,6,2,3,2,không
4.3,52.0,227440,4,6,3,3,3,không
5.3,50.0,237959,4,6,2,3,3,không
4.295,55.0,239564,4,4,2,3,3,không
7.4,68.0,239535,4,6,1,1,1,không
7.4,76.0,239521,4,8,1,1,1,không
1.95,24.0,239520,4,3,1,2,2,không
3.78,30.0,238264,4,3,3,2,3,không
8.2,57.0,239514,4,15,3,1,1,không
4.5,25.0,239512,4,4,2,2,2,không
6.6,56.0,239509,4,3,2,1,1,không
6.35,68.0,239501,4,6,2,1,1,không
2.55,25.0,237642,3,3,2,2,2,không
8.5,60.0,239447,4,4,4,8,8,không
10.5,61.0,232154,4,6,4,10,10,không
32.0,106.0,232176,5,15,8,20,20,không
3.6,31.0,231991,5,3,3,2,3,không
18.0,80.0,239335,4,12,5,7,8,không
11.8,80.0,232162,6,5,4,4,5,không
8.5,51.0,232331,4,6,3,2,3,không
8.9,40.0,232171,3,6,5,5,7,không
16.5,100.0,232321,4,6,4,6,7,không
16.0,147.0,232179,9,10,1,1,1,không
8.0,37.0,232337,5,5,4,6,7,không
8.8,58.0,232437,4,4,4,6,7,không
4.45,25.0,232342,5,4,4,2,3,không
3.35,17.0,232345,3,4,4,2,2,không
22.5,68.0,234631,1,25,1,2,2,không
15.0,77.0,232674,5,12,4,6,7,không
13.5,82.0,232682,7,12,5,6,7,không
31.0,88.0,232703,5,20,3,4,5,không
11.5,65.0,234608,1,5,4,4,4,không
4.3,17.0,232861,1,3,4,2,2,không
11.5,76.0,234545,1,6,5,9,9,không
24.8,60.0,234627,1,15,3,3,4,không
24.5,72.0,234619,1,15,1,2,1,không
11.5,97.0,234634,1,7,1,1,1,không
4.8,31.0,234794,1,3,3,3,2,không
5.8,38.0,235179,1,5,4,3,4,không
5.6,36.0,235394,1,3,3,2,3,không
3.6,26.0,234965,1,5,2,1,1,không
4.0,20.0,235493,1,3,2,1,2,không
10.8,56.0,235829,1,6,4,4,4,không
11.8,84.0,235847,1,6,2,2,2,không
11.9,91.0,235528,1,8,4,4,4,không
24.5,67.0,235526,1,30,4,4,4,không
4.3,68.0,235506,1,3,4,3,2,không
8.5,72.0,235508,1,5,1,2,2,không
1.4,55.0,235536,1,7,4,4,4,không
29.0,66.0,235515,1,30,1,2,2,không
21.5,65.0,235521,1,30,4,4,4,không
32.8,1100.0,235533,1,20,6,6,7,không
12.8,71.0,235530,1,6,4,4,4,không
16.7,62.0,235534,1,8,5,5,5,không
800.0,70.0,235826,1,4,3,4,4,không
28.3,117.0,235538,1,35,4,4,4,không
24.4,93.0,235848,1,10,4,4,4,không
11.5,32.0,235849,1,30,5,4,4,không
0.0,59.0,236337,1,6,2,1,4,không
14.5,43.0,235863,1,15,5,4,4,không
13.5,62.0,236341,1,8,3,4,4,không
2.0,120.0,236346,1,15,6,6,6,không
1.7,82.0,236355,1,20,4,4,4,không
12.0,72.0,236387,4,8,4,4,4,không
13.7,82.0,236381,1,7,3,4,4,không
12.3,90.0,236373,1,5,4,4,4,không
2.9,97.0,237279,1,20,2,2,2,không
14.9,62.0,238147,5,20,1,2,2,không
14.9,75.0,238146,1,20,4,4,4,không
16.5,70.0,236810,4,20,4,4,4,không
5.2,27.0,237003,1,6,3,2,3,không
12.1,88.0,236823,1,5,4,6,6,không
1.0,64.0,236834,4,5,3,3,4,không
1.6,90.0,237263,1,20,1,2,3,không
7.8,55.0,237181,4,4,4,4,5,không
25.0,56.0,237241,4,20,4,4,4,không
8.2,45.0,237274,1,4,4,4,4,không
1.6,82.0,237249,5,6,4,4,4,không
11.6,108.0,237270,4,9,2,2,2,không
4.0,17.0,237347,3,6,3,2,3,không
15.7,48.0,237276,1,15,5,4,4,không
5.9,35.0,237463,7,5,2,1,2,không
4.7,39.0,237833,3,4,5,3,4,không
4.4,93.2,239395,1,1,1,1,1,không
8.7,46.0,238172,4,4,5,4,4,không
17.0,65.0,239362,7,8,5,4,4,không
12.8,74.0,239365,4,5,5,4,4,không
11.5,97.0,239356,1,7,1,1,1,không
11.5,65.0,239343,1,5,4,4,4,không
4.45,25.0,239339,5,4,4,2,3,không
19.0,81.0,239334,5,1,4,1,1,không
6.5,0.0,239314,1,1,3,5,4,cơ bản
30.0,230.0,239312,1,1,2,4,4,không
48.0,111.0,239311,1,1,9,27,30,cơ bản
100.0,270.0,239309,1,1,2,4,4,cơ bản
12.8,61.0,239306,1,1,3,4,4,cơ bản
5.0,65.0,239300,5,5,3,3,1,không
5.3,56.0,239289,4,4,1,1,2,không
2.85,36.0,230030,1,1,1,1,1,không
3.3,36.0,230020,1,1,1,1,1,không
6.6,44.0,239280,7,7,3,4,4,không
2.8,100.0,239266,5,15,3,3,3,đầy đủ
749.0,76.0,239204,1,5,2,2,2,không
3.5,116.0,239161,6,3,1,3,1,không
6.3,50.0,239140,4,5,3,4,5,không
3.5,116.0,239132,6,3,1,3,1,không
4.75,51.0,239131,4,6,2,4,3,không
5.1,64.0,239127,5,3,4,4,5,không
3.05,80.0,239126,4,8,2,3,2,không
8.7,70.0,239123,4,4,4,3,2,không
3.5,20.0,239121,1,1,1,1,1,không
1.3,89.0,239110,4,5,4,8,9,không
6.3,60.0,232181,1,1,2,3,3,không
6.3,60.0,234982,1,1,2,3,3,không
6.5,70.0,237231,1,8,2,3,3,không
6.2,80.0,237322,1,1,2,3,3,không
25.0,516.0,239104,8,20,2,4,5,không
6.3,50.0,239098,4,5,3,4,5,không
1.29,25.0,239093,3,4,2,2,2,không
5.9,55.0,239085,5,4,4,5,5,không
6.3,24.5,239084,1,1,1,1,1,không
4.8,50.0,239074,4,3,2,2,2,không
8.7,70.0,239073,4,4,4,3,2,không
16.2,96.0,231989,6,6,4,8,5,không
6.0,80.0,236873,4,5,2,3,3,không
6.0,80.0,239071,4,5,2,3,3,không
9.0,90.0,239066,5,5,3,4,5,không
5.1,64.0,239064,5,3,4,4,5,không
20.0,150.0,239055,7,9,4,7,5,không
43.26,493.0,239049,18,8,4,12,10,không
2.9,18.0,239048,1,1,1,1,1,không
4.7,76.0,239040,4,3,1,1,1,không
5.9,55.0,239037,5,1,4,5,5,không
2.9,97.0,239025,7,8,1,1,1,không
17.3,62.0,239002,5,8,1,1,1,không
17.0,113.0,238994,4,30,4,4,3,không
18.0,71.0,238993,5,30,4,8,8,không
9.8,172.0,238991,4,5,3,4,4,không
2.25,20.0,238989,3,2,2,2,1,không
2.25,20.0,238983,3,2,2,2,1,không
2.25,20.0,238980,3,2,2,2,1,không
4.8,50.0,238976,4,3,2,2,2,không
4.8,50.0,238975,4,3,2,2,2,không
3.9,60.0,238974,5,5,2,3,1,không
5.1,64.0,238971,5,3,4,4,5,không
4.7,76.0,238962,4,3,1,1,1,không
3.5,116.0,238959,6,3,1,3,1,không
43.26,493.0,238952,18,8,4,12,10,không
5.1,64.0,238950,5,3,4,4,5,không
8.7,70.0,238944,4,4,4,3,2,không
5.4,59.0,238939,7,4,2,3,2,không
3.4,39.0,238936,4,1,1,1,1,không
7.1,62.0,238935,4,20,3,4,3,không
2.3,25.0,238928,1,1,1,1,1,không
5.6,74.0,237131,6,3,1,2,2,không
5.2,65.0,228654,4,3,2,5,3,không
5.7,61.0,228642,7,3,3,5,3,không
5.55,53.0,228719,4,17,4,4,3,không
6.0,42.0,238922,5,6,3,2,3,không
6.0,42.0,238921,5,6,3,2,3,không
7.6,50.0,238914,5,5,4,5,5,không
7.6,50.0,238912,5,5,4,5,5,không
7.6,50.0,238913,5,5,4,5,5,không
22.0,200.0,238883,9,6,4,6,4,không
5.5,67.0,237198,5,6,1,1,1,không
5.5,67.0,237508,5,6,1,1,1,không
9.5,68.0,238855,4,5,3,4,5,không
4.28,55.0,238850,4,4,2,3,2,không
17.0,186.0,238828,5,16,1,4,4,không
2.35,33.0,238825,3,8,3,4,3,không
2.45,24.0,238821,3,5,2,2,2,không
17.0,186.0,238817,5,16,1,4,4,không
4.9,80.0,238807,4,5,2,3,3,không
6.0,55.0,230717,4,5,4,1,1,đầy đủ
5.5,52.0,229567,4,5,1,1,1,đầy đủ
4.5,54.0,230751,4,5,1,1,1,đầy đủ
6.7,105.0,238802,7,3,2,3,3,không
5.3,35.0,238793,4,15,3,3,3,không
8.6,60.0,238791,5,15,3,3,4,không
7.5,69.0,238787,4,6,3,3,3,không
10.5,62.0,236139,4,5,4,4,4,không
4.5,55.0,226843,5,8,3,3,2,không
4.5,55.0,226445,5,8,3,2,2,không
4.3,48.0,226059,4,6,2,3,2,không
4.3,51.0,225432,4,6,2,4,1,không
4.38,0.0,234339,4,10,3,3,1,không
4.19,36.0,233875,6,4,3,3,3,không
9.9,99.0,232261,4,4,3,4,3,không
4.5,55.0,222911,4,8,3,3,1,không
4.3,51.0,222259,4,5,2,3,1,không
5.7,52.0,221657,4,5,2,2,3,không
2.83,32.0,223089,4,5,2,2,1,không
4.5,55.0,223682,4,8,3,3,2,không
4.5,55.0,223205,4,8,3,3,1,không
4.3,52.0,221935,4,5,2,3,1,không
4.3,51.0,223171,4,6,2,3,1,không
3.9,42.0,221378,4,5,2,2,1,không
4.0,43.0,220750,4,5,2,2,3,không
5.7,52.0,221296,4,5,3,2,1,không
5.7,51.0,221066,4,5,3,2,3,không
4.35,30.0,232295,6,10,3,3,3,không
4.2,36.0,233817,6,4,3,3,3,không
4.19,36.0,233572,6,4,3,3,3,không
4.3,56.0,225010,4,5,3,3,1,không
9.9,99.0,231757,4,4,3,4,3,không
3.55,31.0,231234,6,4,3,3,2,không
4.5,55.0,229859,5,8,3,3,1,không
4.5,55.0,230039,5,8,3,3,2,không
9.9,99.0,231758,4,4,3,4,3,không
4.2,36.0,233454,6,4,3,3,3,không
4.28,35.0,236608,4,9,3,3,1,không
3.848,40.0,238779,4,4,2,2,2,không
7.9,102.0,238770,5,9,4,4,3,không
2.85,28.0,231468,1,1,1,1,1,không
9.2,100.0,229055,1,1,1,1,1,không
2.8,28.0,231203,1,1,1,1,1,không
2.75,44.0,229358,1,1,1,1,1,không
5.89,62.0,229371,1,1,1,1,1,không
12.6,44.0,238759,4,15,5,4,4,không
16.5,73.0,238152,6,6,5,6,8,không
7.2,38.0,235868,1,5,4,4,4,không
3.6,60.0,231381,4,7,2,2,2,không
3.5,100.0,238680,5,1,2,1,1,không
5.0,47.0,238648,4,6,2,2,2,không
3.7,32.0,238631,4,3,2,2,2,không
6.0,65.0,238624,4,3,2,3,2,không
29.8,130.0,238623,17,10,4,8,8,không
9.3,64.0,238595,4,5,3,5,6,không
16.5,73.0,238589,6,6,3,5,6,không
3.4,30.0,238588,5,3,2,2,2,không
27.2,147.0,238581,5,8,6,20,20,không
6.1,60.0,238578,4,4,2,2,2,không
3.3,39.0,238561,4,5,2,2,1,đầy đủ
0.0,0.0,229596,4,5,1,1,1,đầy đủ
5.2,60.0,236302,4,5,4,1,1,đầy đủ
5.8,68.0,236701,4,6,2,2,2,đầy đủ
4.75,53.0,238559,1,1,2,3,1,không
4.75,53.0,238555,1,1,2,3,1,không
1.1,24.0,238553,1,2,1,2,1,không
4.4,44.0,238544,4,4,2,2,2,không
6.3,64.0,238541,1,1,2,3,3,không
1.2,48.0,238539,5,5,1,2,2,cơ bản
10.0,100.0,238537,5,15,3,2,4,không
10.0,100.0,238535,5,15,3,2,4,không
760.0,40.0,238527,4,3,1,2,2,đầy đủ
22.5,1.0,232067,4,12,2,2,3,không
0.0,103.0,235822,1,20,7,6,7,không
17.9,64.0,235857,1,30,1,2,2,không
10.5,61.0,236365,1,5,4,4,4,không
4.3,56.0,233805,1,3,2,2,2,không
14.0,200.0,208103,8,20,3,4,5,cơ bản
5.8,40.0,238504,4,10,2,2,2,không
35.0,160.0,238499,5,30,9,1,8,không
6.0,42.0,238491,5,5,2,2,2,không
20.0,145.0,238476,9,15,4,5,5,không
5.4,65.0,238471,5,8,3,5,5,không
3.25,45.0,238469,1,4,2,3,1,không
8.6,48.0,238463,4,4,5,5,5,không
3.6,42.0,238431,1,4,2,2,1,không
3.6,35.0,238429,5,1,3,4,1,không
2.0,100.0,238428,5,15,3,4,3,đầy đủ
5.6,60.0,238409,1,1,3,4,4,không
4.75,36.0,238399,4,3,2,2,2,không
6.4,40.0,238397,4,4,3,3,3,không
6.5,45.0,228415,9,4,3,4,3,không
5.0,75.0,238391,5,5,2,3,1,không
3.33,29.0,238382,1,10,1,2,2,không
8.4,70.0,238375,5,8,3,4,4,không
13.5,100.0,238371,5,15,4,5,5,không
9.3,71.0,238368,4,8,4,5,5,không
9.4,84.0,238366,4,5,4,4,4,không
8.9,100.0,238364,5,4,2,3,3,không
2.95,50.0,238339,5,3,2,2,2,không
4.9,80.0,238334,4,5,2,6,4,không
3.6,34.0,238328,4,3,1,1,1,không
6.5,75.0,238324,5,5,1,2,2,không
3.5,79.0,238306,4,6,2,4,3,không
17.9,160.0,235399,8,15,3,5,5,không
6.25,52.0,238290,5,4,4,4,5,không
5.8,57.0,238280,1,6,3,3,3,không
7.15,84.0,238275,4,15,3,5,5,không
5.6,204.0,238269,1,2,2,3,3,không
7.15,84.0,238258,4,15,3,5,5,không
600.0,100.0,238252,5,35,3,3,5,không
1.36,48.0,238238,4,4,1,2,1,không
900.0,63.0,238215,1,1,1,1,1,không
800.0,60.0,238207,1,1,1,1,1,không
0.0,66.0,238204,1,3,1,2,2,không
4.2,50.0,211237,1,1,3,4,5,không
5.2,47.0,238184,1,8,2,2,2,không
4.5,64.0,238183,4,5,3,3,1,không
4.5,64.0,238182,4,5,3,3,1,không
4.3,39.0,238181,4,6,2,2,2,không
10.8,153.0,238165,10,4,2,3,2,không
5.1,68.0,236565,4,8,2,4,5,không
6.3,64.0,236548,4,10,4,4,5,không
2.38,40.0,236366,4,3,1,2,2,không
4.65,132.0,235158,4,4,2,5,5,không
145.0,159.0,238148,9,10,1,1,1,không
145.0,159.0,238144,9,10,1,1,1,không
6.65,90.0,238140,5,6,2,3,2,không
6.7,60.0,238139,5,5,3,3,4,không
17.5,40.0,238109,3,20,5,7,8,không
3.7,25.0,238095,10,4,2,3,2,không
6.6,45.0,238093,4,6,5,4,5,không
0.0,0.0,238082,1,1,1,1,1,không
4.7,40.0,238065,4,3,2,2,3,không
24.8,60.0,238058,4,10,8,16,17,không
15.5,70.0,238046,15,7,3,6,4,không
11.0,29.7,238032,1,1,1,1,1,không
8.9,30.0,238015,30,4,4,4,5,không
6.65,90.0,238014,5,6,2,3,2,không
6.5,50.0,238003,10,4,1,2,1,không
30.0,200.0,237995,16,8,4,16,16,không
11.7,120.0,231085,6,5,1,4,4,không
11.5,80.0,237985,4,15,3,4,4,không
6.85,50.0,237980,1,8,2,4,5,không
32.0,64.0,237979,1,1,1,1,1,không
11.5,80.0,237967,4,15,3,4,4,không
35.0,74.0,237966,1,1,1,1,1,không
1.8,52.0,235678,1,1,1,1,1,không
1.8,52.0,235681,1,1,1,1,1,không
800.0,60.0,237935,1,1,1,1,1,không
34.6,87.75,237930,1,1,1,1,1,không
0.0,0.0,237927,1,1,1,1,1,không
650.0,56.0,237925,1,1,1,1,1,không
34.7,86.0,237912,1,1,1,1,1,không
4.4,48.0,237911,5,3,3,3,2,không
0.0,0.0,237909,1,1,1,1,1,không
34.8,86.0,237903,1,1,1,1,1,không
30.0,200.0,237895,16,8,4,16,16,không
34.9,83.6,237893,1,1,1,1,1,không
35.1,89.1,237886,1,1,1,1,1,không
35.0,90.0,237882,1,1,1,1,1,không
39.5,88.0,237864,1,1,1,1,1,không
8.0,22.8,237860,1,1,1,1,1,không
17.0,52.0,237846,1,1,1,1,1,không
11.7,88.0,237839,1,1,1,1,1,không
18.99,98.0,237832,1,1,1,1,1,không
44.5,112.0,237819,1,1,1,1,1,không
45.0,136.0,237808,1,1,1,1,1,không
760.0,40.0,237805,4,3,1,2,2,không
46.5,117.0,237803,1,1,1,1,1,không
22.0,49.5,237792,1,1,1,1,1,không
22.0,49.5,237793,1,1,1,1,1,không
26.0,65.0,237785,1,1,1,1,1,không
5.6,60.0,237784,4,5,3,4,4,không
6.7,56.0,237778,1,1,5,3,1,không
22.5,71.4,237777,1,1,1,1,1,không
25.0,72.0,237772,1,1,1,1,1,không
21.0,70.4,237771,1,1,1,1,1,không
5.6,64.0,237764,4,5,3,4,3,không
14.5,58.0,237763,5,15,2,2,2,không
7.2,85.0,237761,4,20,3,4,5,không
20.5,127.0,237750,6,20,4,4,3,không
4.2,40.0,237740,4,4,3,3,2,không
700.0,60.0,237731,1,1,1,1,1,không
60.0,174.0,237713,8,6,8,3,8,không
4.5,141.0,234707,5,3,2,4,3,không
4.45,50.0,237699,5,3,3,1,1,không
27.2,147.0,237692,5,8,6,20,20,không
4.3,30.0,237687,15,3,2,2,2,không
6.8,40.0,237682,15,4,4,5,4,không
9.3,64.0,237676,4,5,4,5,6,không
8.7,67.0,237661,4,4,3,4,5,không
0.0,0.0,237659,1,1,1,1,1,không
0.0,0.0,237658,1,1,1,1,1,không
0.0,0.0,237643,1,1,1,1,1,không
4.5,41.0,237640,4,6,5,4,3,không
0.0,0.0,237638,1,1,1,1,1,không
13.5,115.0,237633,5,8,2,2,2,không
3.7,31.0,237632,4,3,2,2,2,không
0.0,0.0,237630,1,1,1,1,1,không
3.7,31.0,237629,4,3,2,2,3,không
5.85,76.0,237622,4,5,2,3,2,không
4.75,55.0,237615,1,1,1,3,1,không
